id,organiser_id,organiser_name,name,sport,date_text,location,start_location,finish_location,distances,age_restriction_text,url,summary,first_seen_at,last_seen_at,last_crawled_at
11,1,RunThrough Events,South Downs Trail August 2027,running,"Sunday, 1st August, 2027","Waterlooville PO8 0QE, UK",,,,,https://www.runthrough.co.uk/event/runthrough-trails-south-downs-august-2027,"Trail running event at Queen Elizabeth Country Park in the South Downs National Park offering 12k, 25k and 50k distances on marked routes with aid stations and medals.",2026-08-15 17:05:28.730863+00:00,2026-08-15 17:05:28.730863+00:00,2026-08-15 17:05:28.730863+00:00
12,1,RunThrough Events,West Cheshire TEN July 2027,running,"Sunday, 25th July, 2027","Plas Newton Ln, Chester CH2 1PR, UK","Cheshire County Sports Club, Plas Newton Ln, Chester CH2 1PR, UK","Cheshire County Sports Club, Plas Newton Ln, Chester CH2 1PR, UK",,,https://www.runthrough.co.uk/event/west-cheshire-ten-july-2027,"Join us for the RunThrough at West Cheshire TEN July 2027 on July 25, 2027. Take on a brilliant summer race day at the West Cheshire TEN, starting and finishing at Cheshire County Sports Club just outside Chester city centre. Choose from the 10K, 10 Mile or Junior Race and enjoy a popular road-closed event through the beautiful Cheshire countryside.",2026-08-15 17:05:44.215583+00:00,2026-08-15 17:05:44.215583+00:00,2026-08-15 17:05:44.215583+00:00
13,1,RunThrough Events,"Long Beach 5K, 10K & Half Marathon April 2027",running,"Saturday, 3rd April, 2027","200 Aquarium Way, Long Beach, CA 90802, USA",,,,,https://www.runthrough.co.uk/event/long-beach-5k-10k-half-marathon-april-2027,"Join us for the RunThrough at Long Beach 5K, 10K & Half Marathon on April 3, 2027. Starting from Shoreline Aquatic Park in Long Beach, California, this scenic race offers 5K, 10K and Half Marathon distances along one of LA’s most spectacular coastal locations.",2026-08-15 17:06:02.744862+00:00,2026-08-15 17:06:02.744862+00:00,2026-08-15 17:06:02.744862+00:00
14,1,RunThrough Events,"Carlisle Half Marathon, 10k & 5k July 2027",running,"Sunday, 18th July, 2027","Durdar Rd, Carlisle CA2 4TS, UK",,,,,https://www.runthrough.co.uk/event/carlisle-half-marathon-10k-july-2027,,2026-08-15 17:06:19.723799+00:00,2026-08-15 17:06:19.723799+00:00,2026-08-15 17:06:19.723799+00:00
15,1,RunThrough Events,"Battersleigh 5k, 10k & Half Marathon December 2026",running,"Saturday, 12th December, 2026","Carriage Dr E, London SW11 4NJ, UK",,,,,https://www.runthrough.co.uk/event/battersleigh-5k-10k-half-marathon-december-2026,"Join us for the RunThrough at Battersleigh 5k, 10k & Half Marathon December 2026 on December 12, 2026. Finish the year with a memorable winter race blending scenic surroundings with a straightforward route and an uplifting finish on the track.",2026-08-15 17:06:36.070149+00:00,2026-08-15 17:06:36.070149+00:00,2026-08-15 17:06:36.070149+00:00
16,1,RunThrough Events,Edinburgh Running Festival August 2027,running,"Sunday, 1st August, 2027","Queen's Dr, Edinburgh EH8 8HG, UK",,,,,https://www.runthrough.co.uk/event/edinburgh-running-festival-august-2027,"Join us for the RunThrough at Edinburgh Running Festival August 2027 on August 1, 2027. Experience one of Scotland's most spectacular race days at the Edinburgh Running Festival. Choose from a Half Marathon, 10K or 5K and take on a stunning fully road-closed route through the iconic Holyrood Park.",2026-08-15 17:06:57.629549+00:00,2026-08-15 17:06:57.629549+00:00,2026-08-15 17:06:57.629549+00:00
17,1,RunThrough Events,Windsor Trail Half Marathon & 10k November 2027,running,"Sunday, 28th November, 2027","3 Alma Rd, Windsor SL4 3HU, UK",,,,,https://www.runthrough.co.uk/event/windsor-trail-run-november-2027,"Join us for the RunThrough at Windsor Trail Half Marathon & 10k on November 28, 2027. Choose from the 10K or Half Marathon and take on a flat trail course through Alexandra Gardens, with Windsor Castle towering in the distance. In support of Brain Research UK.",2026-08-15 17:07:18.817057+00:00,2026-08-15 17:07:18.817057+00:00,2026-08-15 17:07:18.817057+00:00
18,1,RunThrough Events,Windsor Trail Half Marathon & 10k April 2027,running,"Sunday, 4th April, 2027","3 Alma Rd, Windsor SL4 3HU, UK",,,,,https://www.runthrough.co.uk/event/windsor-trail-run-april-2027,"Join a scenic trail run through Alexandra Gardens in Windsor with views of Windsor Castle. Choose between a 10K or Half Marathon on flat paths, suitable for first-timers or those stepping up distance. The event includes chip timing, photos, medals and post-race goodies.",2026-08-15 17:07:34.167071+00:00,2026-08-15 17:07:34.167071+00:00,2026-08-15 17:07:34.167071+00:00
19,1,RunThrough Events,Windsor Trail Half Marathon & 10k January 2027,running,"Sunday, 31st January, 2027","3 Alma Rd, Windsor SL4 3HU, UK",,,,,https://www.runthrough.co.uk/event/windsor-trail-run-january-2027,"Scenic winter trail run through Windsor offering 10K and Half Marathon distances along the paths of Alexandra Gardens with views of Windsor Castle. Flat course suitable for all abilities, in support of Brain Research UK. Includes chip timing, free photos, themed medal and post-race goodies.",2026-08-15 17:07:50.977699+00:00,2026-08-15 17:07:50.977699+00:00,2026-08-15 17:07:50.977699+00:00
20,1,RunThrough Events,Windsor Trail Half Marathon & 10k August 2027,running,"Sunday, 29th August, 2027","3 Alma Rd, Windsor SL4 3HU, UK",,,,,https://www.runthrough.co.uk/event/windsor-trail-run-august-2027,Scenic flat trail run through Alexandra Gardens in Windsor with views of Windsor Castle. Offers 10K and Half Marathon distances on a marked course with marshals. Part of the RunThrough series supporting Brain Research UK.,2026-08-15 17:08:09.339362+00:00,2026-08-15 17:08:09.339362+00:00,2026-08-15 17:08:09.339362+00:00
21,1,RunThrough Events,"Run Alton Towers 5k, 10k & Junior Race November 2026",running,"Saturday, 14th November, 2026","Farley Ln, Alton, Stoke-on-Trent ST10 4DB, UK",,,,,https://www.runthrough.co.uk/event/run-alton-towers-10k-junior-race-november-2026,"Join us at the UK’s biggest theme park for a brilliant morning of racing and rides. The Run Alton Towers 5k, 10K and Junior Race take you on a unique route inside Alton Towers Resort, with a finish you will remember and theme park entry included in every place. Set on smooth, fully marked paths within the resort.",2026-08-15 17:08:26.955523+00:00,2026-08-15 17:08:26.955523+00:00,2026-08-15 17:08:26.955523+00:00
22,1,RunThrough Events,Trail Running Workshop September 2026,running,"Saturday, 19th September, 2026","37 Main St, Newtown Linford, Leicester LE6 0AD, UK",,,,,https://www.runthrough.co.uk/event/trail-running-workshop-september-2026,"Full-day trail running workshop on September 19, 2026 focused on uphill and downhill technique, GPX/map-reading, route planning with watches, and trail-specific training strategies. Coached sessions include practical trail running followed by educational workshops. Early bird price £95 until 19 August 2026.",2026-08-15 17:08:47.800521+00:00,2026-08-15 17:08:47.800521+00:00,2026-08-15 17:08:47.800521+00:00
23,1,RunThrough Events,London Running Festival December 2026,running,"Sunday, 6th December, 2026","GXXJ+M52, London, UK",,,,,https://www.runthrough.co.uk/event/london-running-festival-december-2026,"Join the RunThrough at London Running Festival on December 6, 2026, at Queen Elizabeth Olympic Park in London. Choose from a 5K (ballot or guaranteed), 10K, or Half Marathon on road-closed routes past iconic landmarks.",2026-08-15 17:09:02.444424+00:00,2026-08-15 17:09:02.444424+00:00,2026-08-15 17:09:02.444424+00:00
24,1,RunThrough Events,RunThrough Trails Morzine-Avoriaz June 2027,running,"Saturday, 19th June, 2027","5PJ3+J87, 74110 Morzine, France",,,,,https://www.runthrough.co.uk/event/runthrough-trails-morzine-avoriaz-june-2027,"Join us for the RunThrough Trails Morzine-Avoriaz June 2027 on June 19, 2027. Set within the breathtaking Portes du Soleil region, the routes showcase the very best of Morzine-Avoriaz, from established village trails and forest paths to high Alpine terrain. Choose from 25K, 50K or 100K distances.",2026-08-15 17:09:20.328524+00:00,2026-08-15 17:09:20.328524+00:00,2026-08-15 17:09:20.328524+00:00
25,1,RunThrough Events,"Run Reigate 5k, 10k, Half Marathon & Kids Race September 2026",running,"Sunday, 20th September, 2026","Bell St, Reigate RH2 7RL, UK",,,,,https://www.runthrough.co.uk/event/run-reigate-5k-10k-half-marathon-kids-race-september-2026,"Join us for the RunThrough at Run Reigate 5k, 10k, Half Marathon & Kids Race September 2026 on September 20, 2026 in Reigate Priory Park. The event includes multiple distances with an event village, food, drinks and entertainment.",2026-08-15 17:09:38.114758+00:00,2026-08-15 17:09:38.114758+00:00,2026-08-15 17:09:38.114758+00:00
26,1,RunThrough Events,Loughborough Training Night August 2026,running,"Friday, 28th August, 2026","Rutland Way, Loughborough LE11 3TP, UK",,,,,https://www.runthrough.co.uk/event/loughborough-training-night-august-2026,"Free coach-led track training session at Paula Radcliffe Athletics Stadium featuring structured intervals (2x90s, 4x60s, 4x30s, 4x15s) focused on lactate clearance, running efficiency and speed work.",2026-08-15 17:09:56.267295+00:00,2026-08-15 17:09:56.267295+00:00,2026-08-15 17:09:56.267295+00:00
27,1,RunThrough Events,Manchester Training Night August 2026,running,"Tuesday, 25th August, 2026","Longford Park Stadium, Ryebank Rd, Chorlton-cum-Hardy, Stretford, Manchester M21 9TA, UK",,,,,https://www.runthrough.co.uk/event/manchester-training-night-august-2026,"Free coach-led training night at Longford Park Stadium featuring a pyramid fartlek session and running drills to improve endurance, pacing and efficiency. The session runs on Tuesday 25 August 2026 from 18:30 to 19:30.",2026-08-15 17:10:15.563042+00:00,2026-08-15 17:10:15.563042+00:00,2026-08-15 17:10:15.563042+00:00
28,1,RunThrough Events,Wolverhampton 10k February 2027,running,"Sunday, 7th February, 2027","Waterloo Rd, Wolverhampton WV1 4QR, UK",,,,,https://www.runthrough.co.uk/event/wolverhampton-10k-february-2027,"Join us for the RunThrough at Wolverhampton 10k February 2027 on February 7, 2027. Take on a scenic and one-of-a-kind 10K race through Wolverhampton, starting and finishing at the iconic Molineux Stadium.",2026-08-15 17:10:32.460760+00:00,2026-08-15 17:10:32.460760+00:00,2026-08-15 17:10:32.460760+00:00
29,1,RunThrough Events,Newcastle Half Marathon & 10k July 2027,running,"Sunday, 11th July, 2027","Brunton Rd, Kenton Bank Foot, Newcastle upon Tyne NE13 8AF, UK",,,,,https://www.runthrough.co.uk/event/newcastle-half-marathon-10k-july-2027,,2026-08-15 17:10:51.390104+00:00,2026-08-15 17:10:51.390104+00:00,2026-08-15 17:10:51.390104+00:00
30,1,RunThrough Events,"Ride Reigate 100k, 50, 25k & Junior Races July 2027",cycling,"Sunday, 11th July, 2027","Rushworth Rd, Reigate RH2 0QF, UK",,,,,https://www.runthrough.co.uk/event/ride-reigate-100k-50-25k--junior-races-july-2027,"Cycling sportive event with 100k, 50k, 25k and junior race distances through Surrey and Sussex countryside on July 11, 2027, in support of The Brain Tumour Charity.",2026-08-15 17:11:09.400427+00:00,2026-08-15 17:11:09.400427+00:00,2026-08-15 17:11:09.400427+00:00
